step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,392.8,5.0,2.0,0,0.0,2,0.5
20.0,-61.0,56.0,12.0,0,5.05,3,3.73
30.0,-86.6,134.2,20.4,0,12.125,8,6.39
40.0,-50.20000000000002,174.4,30.4,0,0.0,5,9.69
50.0,-71.19999999999999,235.6,40.4,0,12.383333333333333,10,9.82
60.0,-98.00000000000003,323.6,50.4,0,0.0,10,13.48
70.0,-9.399999999999956,341.4,42.0,0,26.446666666666665,13,12.19
80.0,16.199999999999967,334.8,32.4,0,12.266666666666667,6,13.39
90.0,-29.6,354.8,42.0,0,23.2975,12,12.67
100.0,-54.999999999999986,411.0,40.8,0,0.0,10,15.22
110.0,-45.80000000000001,446.8,50.8,0,23.691666666666666,17,14.89
120.0,-7.1999999999999815,455.2,49.6,0,0.0,10,16.26
130.0,41.000000000000014,421.4,42.4,0,16.674999999999997,13,14.53
140.0,-12.600000000000016,436.2,40.2,0,14.191666666666666,9,16.16
150.0,28.19999999999998,406.8,41.4,0,17.47,14,14.53
160.0,-14.599999999999987,422.0,40.8,0,10.1125,9,15.07
170.0,-44.19999999999999,456.2,50.8,0,16.383333333333336,15,15.21
180.0,-14.400000000000013,471.0,50.4,0,23.36,7,17.44
190.0,71.8,407.0,42.6,0,31.726666666666667,16,13.57
200.0,-13.399999999999984,423.2,39.8,0,13.791666666666668,8,15.11
210.0,34.19999999999996,386.6,42.2,0,13.5625,13,13.33
220.0,-18.199999999999953,406.4,40.6,0,0.0,11,15.05
230.0,-55.0,451.4,50.6,0,26.933333333333334,17,15.05
240.0,4.999999999999957,452.6,44.4,0,9.683333333333334,8,16.16
250.0,38.60000000000002,404.0,54.4,0,15.870833333333334,13,14.43
260.0,47.99999999999998,370.6,39.8,0,11.6375,9,14.25
270.0,41.60000000000003,329.2,39.6,0,23.674999999999997,14,13.17
280.0,16.6,320.2,32.0,0,0.0,6,12.81
290.0,-36.79999999999999,348.4,40.6,0,22.846666666666668,13,12.44
300.0,-64.40000000000003,402.8,50.6,0,0.0,9,14.92
310.0,59.40000000000001,362.0,32.0,0,32.65833333333334,13,13.41
320.0,-48.200000000000024,400.6,41.6,0,12.566666666666666,10,16.02
330.0,-1.1999999999999886,391.8,51.6,0,23.291666666666668,13,13.51
340.0,2.0,399.8,41.6,0,10.25,8,15.38
350.0,19.19999999999999,379.6,42.6,0,21.225,13,13.56
360.0,-46.59999999999995,418.4,50.4,0,12.4375,8,17.43
370.0,72.59999999999995,355.6,40.6,0,16.19166666666667,10,13.17
380.0,-19.19999999999999,364.8,50.6,0,0.0,10,14.03
390.0,38.79999999999999,334.6,42.0,0,14.641666666666667,14,11.95
400.0,17.400000000000013,326.8,32.4,0,0.0,6,13.07
410.0,-46.599999999999966,363.4,42.4,0,24.39,15,12.98
420.0,-29.6,395.4,40.0,0,11.8375,8,15.82
430.0,48.8,345.4,41.2,0,30.616666666666667,12,12.79
440.0,-19.600000000000023,355.0,51.2,0,0.0,8,14.2
450.0,42.2,322.0,42.0,0,24.085,15,11.5
460.0,23.0,309.0,32.0,0,0.0,8,12.36
470.0,-47.4,347.0,41.4,0,16.105000000000004,15,12.85
480.0,-9.999999999999979,358.4,40.0,0,0.0,6,14.93
490.0,-40.200000000000045,388.6,50.0,0,30.520833333333336,14,14.39
500.0,8.000000000000014,390.8,39.8,0,22.916666666666664,9,15.63
510.0,60.8,331.8,38.0,0,17.615,10,12.29
520.0,-4.9999999999999645,342.4,32.4,0,0.0,7,13.7
530.0,-40.200000000000045,372.6,42.4,0,24.795,13,13.31
540.0,-53.999999999999964,417.2,51.8,0,23.200000000000003,7,16.05
